from,to,timestamp,tx_hash,amount,usd_value
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xebbdf302c940c6bfd49c6b165f457fdb324649bc,1529312017.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xffe02ee4c69edf1b340fcad64fbd6b37a7b9e265,1529312093.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xbf52f2ab39e26e0951d2a02b49b7702abe30406a,1529312175.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x80bc5512561c7f85a3a9508c7df7901b370fa1df,1529314399.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x5f53f7a8075614b699baad0bc2c899f4bad8fbbf,1529314602.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x5c3a228510d246b78a3765c20221cbf3082b44a4,1529504029.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,1529504105.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xd01db73e047855efb414e6202098c4be4cd2423b,1529504577.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x5c743a35e903f6c584514ec617acee0611cf44f3,1544092118.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,1544092131.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,1544092469.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,1544093340.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,1544093575.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x1c83501478f1320977047008496dacbd60bb15ef,1544092302.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,1544092441.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xe2fb6529ef566a080e6d23de0bd351311087d567,1544093332.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x1b957dc4aefeed3b4a2351a6a6d5cbfbba0cecfa,1544093552.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x4069c523499f555beabe8c1f4f8c6146aa4d1298,1544094771.0,0xef42dab7f00ae013e483c855897ddb29bc846ebc94197930227f2139fa2ff303,9.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,1546647549.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x4515733fd165cb3d44e8087f51765230006cc720,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,1517600288.0,0x1b3c641eb533f9965244742099373bd4344e7fb30c843d5fec05d052a6c0d92f,0.0,0
0x4515733fd165cb3d44e8087f51765230006cc720,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,1517643789.0,0x1b3c641eb533f9965244742099373bd4344e7fb30c843d5fec05d052a6c0d92f,0.0,0
0x4515733fd165cb3d44e8087f51765230006cc720,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,1517766102.0,0x1b3c641eb533f9965244742099373bd4344e7fb30c843d5fec05d052a6c0d92f,0.0,0
